filename,width,height,class,xmin,ymin,xmax,ymax
10.1.1.1.2006_3.jpg,793,1123,column,458,710,517,785
10.1.1.1.2006_3.jpg,793,1123,column,531,710,568,783
10.1.1.1.2006_3.jpg,793,1123,column,583,712,619,785
10.1.1.1.2006_3.jpg,793,1123,column,637,712,670,784
10.1.1.1.2013_63.jpg,816,1056,column,118,191,288,766
10.1.1.1.2013_63.jpg,816,1056,column,316,189,346,764
10.1.1.1.2013_63.jpg,816,1056,column,387,191,415,764
10.1.1.1.2013_63.jpg,816,1056,column,456,188,487,764
10.1.1.1.2013_63.jpg,816,1056,column,526,191,557,764
10.1.1.1.2013_63.jpg,816,1056,column,597,192,626,763
10.1.1.1.2013_63.jpg,816,1056,column,665,191,694,764
10.1.1.1.2013_64.jpg,816,1056,column,120,223,156,332
10.1.1.1.2013_64.jpg,816,1056,column,189,224,221,330
10.1.1.1.2013_64.jpg,816,1056,column,319,206,375,329
10.1.1.1.2013_64.jpg,816,1056,column,453,192,518,330
10.1.1.1.2013_64.jpg,816,1056,column,602,207,654,329
10.1.1.1.2013_64.jpg,816,1056,column,116,489,238,652
10.1.1.1.2013_64.jpg,816,1056,column,257,476,300,649
10.1.1.1.2013_64.jpg,816,1056,column,312,479,353,651
10.1.1.1.2013_64.jpg,816,1056,column,363,476,403,652
10.1.1.1.2013_64.jpg,816,1056,column,416,476,453,649
10.1.1.1.2013_64.jpg,816,1056,column,460,477,496,651
10.1.1.1.2013_64.jpg,816,1056,column,506,477,537,652
10.1.1.1.2013_64.jpg,816,1056,column,554,473,597,649
10.1.1.1.2013_64.jpg,816,1056,column,606,477,646,652
10.1.1.1.2013_64.jpg,816,1056,column,657,474,694,651
10.1.1.1.2014_4.jpg,816,1056,column,72,264,162,689
10.1.1.1.2014_4.jpg,816,1056,column,181,263,375,689
10.1.1.1.2014_6.jpg,816,1056,column,88,208,175,355
10.1.1.1.2014_6.jpg,816,1056,column,216,208,232,354
10.1.1.1.2014_6.jpg,816,1056,column,243,207,334,355
10.1.1.1.2018_4.jpg,816,1056,column,93,70,131,210
10.1.1.1.2018_4.jpg,816,1056,column,147,69,372,213
10.1.1.1.2018_8.jpg,816,1056,column,444,69,563,224
10.1.1.1.2018_8.jpg,816,1056,column,579,70,725,224
10.1.1.1.2018_8.jpg,816,1056,column,515,872,546,948
10.1.1.1.2018_8.jpg,816,1056,column,562,870,654,949
10.1.1.1.2019_2.jpg,793,1123,column,163,532,178,908
10.1.1.1.2019_2.jpg,793,1123,column,196,532,249,907
10.1.1.1.2019_2.jpg,793,1123,column,268,532,288,910
10.1.1.1.2019_2.jpg,793,1123,column,308,532,324,908
10.1.1.1.2019_2.jpg,793,1123,column,346,531,361,907
10.1.1.1.2019_2.jpg,793,1123,column,381,532,398,906
10.1.1.1.2019_2.jpg,793,1123,column,420,530,437,906
10.1.1.1.2019_2.jpg,793,1123,column,457,531,476,907
10.1.1.1.2019_2.jpg,793,1123,column,496,530,513,907
10.1.1.1.2019_2.jpg,793,1123,column,533,531,553,907
10.1.1.1.2019_2.jpg,793,1123,column,568,531,589,908
10.1.1.1.2019_2.jpg,793,1123,column,602,532,628,906
10.1.1.1.2019_3.jpg,793,1123,column,166,686,277,802
10.1.1.1.2019_3.jpg,793,1123,column,308,686,337,804
10.1.1.1.2019_3.jpg,793,1123,column,363,684,394,803
10.1.1.1.2019_3.jpg,793,1123,column,418,685,458,804
10.1.1.1.2019_3.jpg,793,1123,column,472,687,517,803
10.1.1.1.2019_3.jpg,793,1123,column,540,686,569,803
10.1.1.1.2019_3.jpg,793,1123,column,596,685,624,804
10.1.1.1.2020_8.jpg,793,1123,column,86,391,392,858
10.1.1.1.2020_8.jpg,793,1123,column,419,394,702,864
10.1.1.1.2023_31.jpg,793,1123,column,237,401,283,526
10.1.1.1.2023_31.jpg,793,1123,column,303,371,335,527
10.1.1.1.2023_31.jpg,793,1123,column,348,369,388,525
10.1.1.1.2023_31.jpg,793,1123,column,401,369,440,528
10.1.1.1.2023_31.jpg,793,1123,column,460,368,497,527
10.1.1.1.2023_31.jpg,793,1123,column,512,370,556,527
10.1.1.1.2023_31.jpg,793,1123,column,603,600,659,758
10.1.1.1.2023_31.jpg,793,1123,column,520,601,579,757
10.1.1.1.2023_31.jpg,793,1123,column,126,632,173,759
10.1.1.1.2023_31.jpg,793,1123,column,207,601,241,759
